                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.97053,                 3.4708,                 1.4205,                0.02419,                0.98438,                0.16828,                0.11499,                0.90145,                 4.1371,                 1.4768,                 0.0766,                 0.0026,                 0.0026
                      1,                0.98179,                 3.0168,                 1.3944,                 0.0075,                0.96652,                0.20669,                0.12996,                  1.119,                 3.9245,                 1.6786,               0.052248,              0.0052475,              0.0052475
                      2,                 1.0451,                 2.6469,                 1.4132,                  0.614,                0.16458,                0.30556,                0.18612,                 1.1939,                  3.577,                 1.8519,               0.027842,              0.0078416,              0.0078416
                      3,                 1.0794,                 2.4207,                  1.419,                0.37595,                0.21607,                0.27843,                0.15628,                 1.2475,                 3.6806,                 1.7947,               0.009703,               0.009703,               0.009703
                      4,                 1.0798,                 2.3043,                 1.4418,                0.34067,                0.32991,                0.30929,                0.17866,                 1.3803,                 3.8903,                 2.0232,               0.009703,               0.009703,               0.009703
                      5,                 1.1482,                 2.1839,                 1.4799,                0.33342,                0.29512,                0.24235,                0.13149,                 1.5656,                 5.0383,                 2.2318,               0.009604,               0.009604,               0.009604
                      6,                 1.1119,                 2.0198,                 1.4392,                0.89269,                 0.1135,                0.22451,                0.10087,                 2.0253,                 5.7929,                 3.0711,               0.009505,               0.009505,               0.009505
                      7,                 1.1184,                 1.9875,                 1.4357,                0.33516,                0.56258,                0.50436,                0.27702,                  1.517,                 3.5844,                 2.2869,               0.009406,               0.009406,               0.009406
                      8,                 1.0582,                 1.8706,                 1.4042,                0.55736,                0.33036,                0.36577,                 0.1955,                 1.6576,                 4.0314,                 2.5413,               0.009307,               0.009307,               0.009307
                      9,                  1.097,                 1.8775,                 1.4573,                0.44514,                0.59612,                0.57542,                0.33837,                 1.5551,                 3.2142,                 2.0798,               0.009208,               0.009208,               0.009208
                     10,                 1.0516,                 1.7371,                 1.3754,                0.47036,                0.34615,                0.43093,                0.24286,                 1.4005,                 3.3061,                 1.8862,               0.009109,               0.009109,               0.009109
                     11,                   1.04,                 1.6491,                  1.385,                0.74684,                0.59209,                0.69535,                0.42922,                 1.3079,                 2.7691,                 1.9148,                0.00901,                0.00901,                0.00901
                     12,                 1.0638,                 1.6484,                 1.4051,                0.76478,                0.56254,                0.68993,                0.41632,                 1.3152,                 2.3795,                 1.8703,               0.008911,               0.008911,               0.008911
